userId,movieId,prediction,actualRating,difference,accuracy
102945,1968,0.46934878302,0.6,0.13065121698,0.86934878302
20845,735,0.660993194965,0.9,0.239006805035,0.760993194965
20905,58559,0.774961398981,0.7,0.0749613989812,0.925038601019
77166,2405,0.666932622774,0.6,0.0669326227743,0.933067377226
63914,2028,0.775127023291,0.6,0.175127023291,0.824872976709
9736,520,0.793790461545,0.9,0.106209538455,0.893790461545
123944,16,0.91834295808,1.0,0.0816570419203,0.91834295808
40025,2340,0.678430020096,0.6,0.0784300200965,0.921569979904
129225,296,0.689178938552,0.8,0.110821061448,0.889178938552
62925,1562,0.42900288417,0.4,0.0290028841702,0.97099711583
111251,3198,0.775458641883,0.8,0.0245413581174,0.975458641883
73293,2296,0.376235595275,0.4,0.0237644047252,0.976235595275
11829,6711,0.836772464536,0.7,0.136772464536,0.863227535464
113009,1876,0.395235164058,0.1,0.295235164058,0.704764835942
17582,592,0.68464007381,0.8,0.11535992619,0.88464007381
53512,1132,0.787790959914,1.0,0.212209040086,0.787790959914
44229,81,0.839881461876,0.2,0.639881461876,0.360118538124
3855,21,0.743190353874,1.0,0.256809646126,0.743190353874
88738,2139,0.595489745509,1.0,0.404510254491,0.595489745509
22742,8861,0.598189225093,0.5,0.0981892250931,0.901810774907
92694,1287,0.678110074989,0.8,0.121889925011,0.878110074989
51199,4704,0.611648451028,0.8,0.188351548972,0.811648451028
41096,5816,0.819733700842,0.8,0.0197337008422,0.980266299158
37106,517,0.663406445806,0.8,0.136593554194,0.863406445806
67224,5902,0.738738265978,0.9,0.161261734022,0.838738265978
85223,240,0.769969473242,0.6,0.169969473242,0.830030526758
9462,56367,0.879677215107,1.0,0.120322784893,0.879677215107
95057,260,0.737964763263,0.8,0.0620352367372,0.937964763263
102127,2294,0.451496224489,0.6,0.148503775511,0.851496224489
37072,8861,0.767178145867,0.6,0.167178145867,0.832821854133
19256,648,0.745156392078,0.8,0.0548436079224,0.945156392078
4540,5419,0.732541164425,0.5,0.232541164425,0.767458835575
126896,2716,0.765324807063,0.8,0.0346751929374,0.965324807063
94981,7008,0.535701987508,0.7,0.164298012492,0.835701987508
61049,2791,0.663959606613,0.7,0.0360403933865,0.963959606613
9527,48780,0.894382810214,0.9,0.00561718978644,0.994382810214
52739,1704,0.737634358998,1.0,0.262365641002,0.737634358998
108852,1204,0.803574362875,1.0,0.196425637125,0.803574362875
46572,7004,0.70432521421,0.6,0.10432521421,0.89567478579
110190,27473,0.619644234673,0.5,0.119644234673,0.880355765327
58539,308,0.726657027218,0.6,0.126657027218,0.873342972782
41464,2105,0.737471143079,0.8,0.0625288569211,0.937471143079
71804,1276,0.653814088391,0.6,0.0538140883913,0.946185911609
23599,54785,0.530723017025,0.7,0.169276982975,0.830723017025
69538,3489,0.778141770911,0.2,0.578141770911,0.421858229089
77322,2176,0.800201576666,0.8,0.000201576665749,0.999798423334
66499,8810,0.527423046447,0.2,0.327423046447,0.672576953553
52603,4993,0.769530754634,0.8,0.0304692453657,0.969530754634
94090,281,0.825032819039,1.0,0.174967180961,0.825032819039
88561,673,0.714313277763,0.1,0.614313277763,0.385686722237
57995,6586,0.689731192371,0.6,0.0897311923705,0.910268807629
78296,1610,0.737840818116,0.9,0.162159181884,0.837840818116
50943,3203,0.652050277392,0.7,0.0479497226076,0.952050277392
4878,2676,0.70903023464,0.6,0.10903023464,0.89096976536
33266,1721,0.776051444022,0.8,0.0239485559779,0.976051444022
116361,923,0.683695765479,1.0,0.316304234521,0.683695765479
1185,3826,0.696354771165,0.5,0.196354771165,0.803645228835
102439,173,0.68140684431,0.8,0.11859315569,0.88140684431
103838,8781,0.794104375559,0.9,0.105895624441,0.894104375559
21107,4011,0.514894406488,0.8,0.285105593512,0.714894406488
13366,1234,0.613843853055,1.0,0.386156146945,0.613843853055
105961,1752,0.686744363604,0.4,0.286744363604,0.713255636396
3024,1997,0.937603639297,0.9,0.0376036392971,0.962396360703
126177,2290,0.721467285927,0.6,0.121467285927,0.878532714073
84177,8961,0.692830695176,0.7,0.00716930482409,0.992830695176
